"","FC1","FNC9","FNC12","FC11","FNC7","FNC1","FC6","FC2","FNC10","FNC8","FC4","FC12","FC7","FC10","FNC3","FC3","FNC6","FC5","FNC11","FC9","FNC5","FNC2","FNC4","FC8","taxonomy"
"3336",0,1,0,0,2,0,0,1,4,2,0,0,0,1,0,0,1,0,0,3,1,0,5,0,"k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__uncultured-Planctomycetaceae;"
"3337",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__GemmatimonadaceaeFA;"
"3338",0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,"k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__YNPFFP1;g__YNPFFP1FA;"
"3339",0,0,0,0,9,0,4,0,5,0,6,3,0,1,0,1,1,7,2,0,0,0,0,4,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavitalea;"
"3340",0,0,2,0,5,0,0,8,3,0,0,10,9,0,1,2,1,19,5,0,4,0,6,4,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Acidothermaceae;g__Acidothermus;"
"3341",0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,1,0,0,0,1,0,"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1 clade;g__OM1 cladeFA;"
"3342",0,0,0,4,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;"
"3343",0,2,2,0,0,0,0,21,10,7,7,0,6,2,11,2,2,10,6,0,5,2,24,0,"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae (Subgroup 3);g__Bryobacter;"
"3344",0,3,0,1,2,0,0,0,1,1,1,0,0,0,0,2,0,0,2,0,0,2,0,0,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"3345",0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,3,0,0,0,0,1,0,0,0,"k__Bacteria;p__GAL15;c__GAL15PH;o__GAL15PH;f__GAL15PH;g__GAL15PH;"
